language,workload,threads,wall_time_s
go,matrix_multiplication,1,9.78
go,matrix_multiplication,2,5.5
go,matrix_multiplication,4,4.02
go,matrix_multiplication,8,2.85
go,parallel_sort,1,6.15
go,parallel_sort,2,3.72
go,parallel_sort,4,2.55
go,parallel_sort,8,2.27
go,producer_consumer,1,6.11
go,producer_consumer,2,3.7
go,producer_consumer,4,2.57
go,producer_consumer,8,2.27
java,matrix_multiplication,1,1.1
java,matrix_multiplication,2,0.57
java,matrix_multiplication,4,0.32
java,matrix_multiplication,8,0.21
java,parallel_sort,1,0.13
java,parallel_sort,2,0.1
java,parallel_sort,4,0.09
java,parallel_sort,8,0.09
java,producer_consumer,1,0.09
java,producer_consumer,2,0.08
java,producer_consumer,4,0.06
java,producer_consumer,8,0.07
python,matrix_multiplication,1,90.41
python,matrix_multiplication,2,46.59
python,matrix_multiplication,4,25.22
python,matrix_multiplication,8,14.12
python,parallel_sort,1,0.83
python,parallel_sort,2,0.55
python,parallel_sort,4,0.46
python,parallel_sort,8,0.47
python,producer_consumer,1,6.47
python,producer_consumer,2,3.38
python,producer_consumer,4,3.88
python,producer_consumer,8,4.18
rust,matrix_multiplication,1,1.13
rust,matrix_multiplication,2,0.57
rust,matrix_multiplication,4,0.3
rust,matrix_multiplication,8,0.16
rust,parallel_sort,1,0.04
rust,parallel_sort,2,0.04
rust,parallel_sort,4,0.02
rust,parallel_sort,8,0.01
rust,producer_consumer,1,0.02
rust,producer_consumer,2,0.04
rust,producer_consumer,4,0.05
rust,producer_consumer,8,0.25
