language,workload,threads,wall_time_s,speedup,efficiency
go,matrix_multiplication,1,9.78,1.0,1.0
go,matrix_multiplication,2,5.5,1.778181818181818,0.889090909090909
go,matrix_multiplication,4,4.02,2.4328358208955225,0.6082089552238806
go,matrix_multiplication,8,2.85,3.4315789473684206,0.4289473684210526
go,parallel_sort,1,6.15,1.0,1.0
go,parallel_sort,2,3.72,1.653225806451613,0.8266129032258065
go,parallel_sort,4,2.55,2.4117647058823533,0.6029411764705883
go,parallel_sort,8,2.27,2.709251101321586,0.33865638766519823
go,producer_consumer,1,6.11,1.0,1.0
go,producer_consumer,2,3.7,1.6513513513513514,0.8256756756756757
go,producer_consumer,4,2.57,2.3774319066147864,0.5943579766536966
go,producer_consumer,8,2.27,2.691629955947137,0.3364537444933921
java,matrix_multiplication,1,1.1,1.0,1.0
java,matrix_multiplication,2,0.57,1.929824561403509,0.9649122807017545
java,matrix_multiplication,4,0.32,3.4375,0.859375
java,matrix_multiplication,8,0.21,5.238095238095239,0.6547619047619049
java,parallel_sort,1,0.13,1.0,1.0
java,parallel_sort,2,0.1,1.3,0.65
java,parallel_sort,4,0.09,1.4444444444444446,0.36111111111111116
java,parallel_sort,8,0.09,1.4444444444444446,0.18055555555555558
java,producer_consumer,1,0.09,1.0,1.0
java,producer_consumer,2,0.08,1.125,0.5625
java,producer_consumer,4,0.06,1.5,0.375
java,producer_consumer,8,0.07,1.2857142857142856,0.1607142857142857
python,matrix_multiplication,1,90.41,1.0,1.0
python,matrix_multiplication,2,46.59,1.9405451813693924,0.9702725906846962
python,matrix_multiplication,4,25.22,3.584853291038858,0.8962133227597145
python,matrix_multiplication,8,14.12,6.402974504249292,0.8003718130311614
python,parallel_sort,1,0.83,1.0,1.0
python,parallel_sort,2,0.55,1.5090909090909088,0.7545454545454544
python,parallel_sort,4,0.46,1.8043478260869563,0.4510869565217391
python,parallel_sort,8,0.47,1.7659574468085106,0.22074468085106383
python,producer_consumer,1,6.47,1.0,1.0
python,producer_consumer,2,3.38,1.9142011834319526,0.9571005917159763
python,producer_consumer,4,3.88,1.6675257731958764,0.4168814432989691
python,producer_consumer,8,4.18,1.5478468899521531,0.19348086124401914
rust,matrix_multiplication,1,1.13,1.0,1.0
rust,matrix_multiplication,2,0.57,1.9824561403508771,0.9912280701754386
rust,matrix_multiplication,4,0.3,3.7666666666666666,0.9416666666666667
rust,matrix_multiplication,8,0.16,7.062499999999999,0.8828124999999999
rust,parallel_sort,1,0.04,1.0,1.0
rust,parallel_sort,2,0.04,1.0,0.5
rust,parallel_sort,4,0.02,2.0,0.5
rust,parallel_sort,8,0.01,4.0,0.5
rust,producer_consumer,1,0.02,1.0,1.0
rust,producer_consumer,2,0.04,0.5,0.25
rust,producer_consumer,4,0.05,0.39999999999999997,0.09999999999999999
rust,producer_consumer,8,0.25,0.08,0.01
