"language","threads","workload","run_id","config_type","wall_time_s","cpu_pct","peak_rss_kb","phase","repeat"
"go",1,"matrix_multiplication","go_phase2_matmul_p_base_p1_r1","p_base",14.290000,98,241140,2,1
"go",1,"matrix_multiplication","go_phase2_matmul_p_base_p1_r2","p_base",13.870000,99,245156,2,2
"go",1,"matrix_multiplication","go_phase2_matmul_p_base_p1_r3","p_base",13.880000,99,245612,2,3
"go",1,"matrix_multiplication","go_phase2_matmul_p_base_p1_r4","p_base",13.840000,99,236508,2,4
"go",1,"matrix_multiplication","go_phase2_matmul_p_base_p1_r5","p_base",13.910000,99,239168,2,5
"go",1,"matrix_multiplication","go_phase2_matmul_p_base_p1_r6","p_base",12.150000,99,247840,2,6
"go",1,"matrix_multiplication","go_phase2_matmul_p_base_p1_r7","p_base",9.810000,99,241848,2,7
"go",1,"matrix_multiplication","go_phase2_matmul_p_base_p1_r8","p_base",9.670000,99,243252,2,8
"go",1,"matrix_multiplication","go_phase2_matmul_p_base_p1_r9","p_base",9.890000,99,246276,2,9
"go",1,"matrix_multiplication","go_phase2_matmul_p_base_p1_r10","p_base",9.660000,99,242304,2,10
"go",8,"matrix_multiplication","go_phase2_matmul_p_best_p8_r1","p_best",2.760000,410,228572,2,1
"go",8,"matrix_multiplication","go_phase2_matmul_p_best_p8_r2","p_best",2.830000,409,232568,2,2
"go",8,"matrix_multiplication","go_phase2_matmul_p_best_p8_r3","p_best",2.790000,405,226732,2,3
"go",8,"matrix_multiplication","go_phase2_matmul_p_best_p8_r4","p_best",2.810000,407,231452,2,4
"go",8,"matrix_multiplication","go_phase2_matmul_p_best_p8_r5","p_best",2.820000,408,230664,2,5
"go",8,"matrix_multiplication","go_phase2_matmul_p_best_p8_r6","p_best",2.880000,413,227048,2,6
"go",8,"matrix_multiplication","go_phase2_matmul_p_best_p8_r7","p_best",2.840000,409,227596,2,7
"go",8,"matrix_multiplication","go_phase2_matmul_p_best_p8_r8","p_best",2.850000,411,227104,2,8
"go",8,"matrix_multiplication","go_phase2_matmul_p_best_p8_r9","p_best",2.830000,409,232712,2,9
"go",8,"matrix_multiplication","go_phase2_matmul_p_best_p8_r10","p_best",2.850000,410,229596,2,10
"go",1,"parallel_sort","go_phase2_sort_p_base_p1_r1","p_base",6.100000,99,247504,2,1
"go",1,"parallel_sort","go_phase2_sort_p_base_p1_r2","p_base",6.080000,99,249480,2,2
"go",1,"parallel_sort","go_phase2_sort_p_base_p1_r3","p_base",6.060000,99,247752,2,3
"go",1,"parallel_sort","go_phase2_sort_p_base_p1_r4","p_base",6.130000,99,245448,2,4
"go",1,"parallel_sort","go_phase2_sort_p_base_p1_r5","p_base",6.050000,99,246928,2,5
"go",1,"parallel_sort","go_phase2_sort_p_base_p1_r6","p_base",6.080000,99,247448,2,6
"go",1,"parallel_sort","go_phase2_sort_p_base_p1_r7","p_base",6.120000,99,244852,2,7
"go",1,"parallel_sort","go_phase2_sort_p_base_p1_r8","p_base",6.170000,99,244448,2,8
"go",1,"parallel_sort","go_phase2_sort_p_base_p1_r9","p_base",6.120000,99,254532,2,9
"go",1,"parallel_sort","go_phase2_sort_p_base_p1_r10","p_base",6.050000,99,246804,2,10
"go",8,"parallel_sort","go_phase2_sort_p_best_p8_r1","p_best",2.230000,318,224952,2,1
"go",8,"parallel_sort","go_phase2_sort_p_best_p8_r2","p_best",2.240000,315,230840,2,2
"go",8,"parallel_sort","go_phase2_sort_p_best_p8_r3","p_best",2.260000,316,228584,2,3
"go",8,"parallel_sort","go_phase2_sort_p_best_p8_r4","p_best",2.240000,320,225872,2,4
"go",8,"parallel_sort","go_phase2_sort_p_best_p8_r5","p_best",2.280000,316,228164,2,5
